type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
TrialDigitSpan,2,61,gus_pilot,26,m,857.1945372,2,2,1.7860952,,none,,1
TrialDigitSpan,2,62,gus_pilot,26,m,872.0700965,0,0,1.204782,,none,,1
TrialDigitSpan,2,63,gus_pilot,26,m,885.3799529,1,1,1.4746122,,none,,1
TrialDigitSpan,2,64,gus_pilot,26,m,898.6961513,0,0,2.3505431,,none,,1
TrialDigitSpan,2,65,gus_pilot,26,m,1034.486921,0,0,1.666063,,none,,1
TrialDigitSpan,2,66,gus_pilot,26,m,1048.191938,2,2,1.649199,,none,,1
TrialDigitSpan,2,67,gus_pilot,26,m,1062.182101,0,0,2.51125,,none,,1
TrialDigitSpan,2,68,gus_pilot,26,m,1077.18961,0,0,1.026224,,none,,1
TrialDigitSpan,2,69,gus_pilot,26,m,1089.76121,2,2,1.767747,,none,,1
TrialDigitSpan,2,70,gus_pilot,26,m,1103.928965,1,1,0.859072,,none,,1
TrialDigitSpan,2,71,gus_pilot,26,m,1116.341379,0,0,2.112963,,none,,1
TrialDigitSpan,2,72,gus_pilot,26,m,1131.218415,0,0,1.853553,,none,,1
TrialDigitSpan,2,129,gus_pilot,26,m,2081.078578,2,2,1.409139,,none,,1
TrialDigitSpan,2,54,hazel_pilot,25,f,777.5588634,1,1,1.4388954,1,none,,1
TrialDigitSpan,2,55,hazel_pilot,25,f,790.7897425,1,0,1.9785469,,none,,0
TrialDigitSpan,2,56,hazel_pilot,25,f,805.4588902,2,2,1.4840052,,none,,1
TrialDigitSpan,2,57,hazel_pilot,25,f,819.1465173,1,1,1.8545446,,none,,1
TrialDigitSpan,2,58,hazel_pilot,25,f,832.8083987,0,0,2.0266597,,none,,1
TrialDigitSpan,2,59,hazel_pilot,25,f,847.2275813,1,1,2.090147,,none,,1
TrialDigitSpan,2,60,hazel_pilot,25,f,861.9787905,1,2,1.5658724,,none,,0
TrialDigitSpan,2,61,hazel_pilot,25,f,999.3952568,2,0,1.982018,,none,,0
TrialDigitSpan,2,62,hazel_pilot,25,f,1013.37255,1,2,2.024208,,none,,0
TrialDigitSpan,2,63,hazel_pilot,25,f,1027.288339,-1,1,,,none,,0
TrialDigitSpan,2,64,hazel_pilot,25,f,1037.642843,2,2,2.323762,,none,,1
TrialDigitSpan,2,65,hazel_pilot,25,f,1052.486891,2,2,1.57728,,none,,1
TrialDigitSpan,2,66,hazel_pilot,25,f,1065.531732,0,0,2.146163,,none,,1
TrialDigitSpan,2,67,hazel_pilot,25,f,1080.177618,1,1,1.463697,,none,,1
TrialDigitSpan,2,68,hazel_pilot,25,f,1093.582526,2,2,2.051457,,none,,1
TrialDigitSpan,2,141,hazel_pilot,25,f,2247.456803,1,0,1.805443,,none,,0
TrialDigitSpan,2,91,henry_pilot,26,m,1398.404898,1,1,1.751873,1,none,,1
TrialDigitSpan,2,92,henry_pilot,26,m,1411.937773,2,2,1.235041,,none,,1
TrialDigitSpan,2,93,henry_pilot,26,m,1424.383924,2,2,1.382387,,none,,1
TrialDigitSpan,2,94,henry_pilot,26,m,1437.246691,2,2,1.633825,,none,,1
TrialDigitSpan,2,95,henry_pilot,26,m,1450.824209,1,1,1.382849,,none,,1
TrialDigitSpan,2,96,henry_pilot,26,m,1463.733613,2,2,1.358545,,none,,1
TrialDigitSpan,2,97,henry_pilot,26,m,1476.397,0,0,1.508833,,none,,1
TrialDigitSpan,2,98,henry_pilot,26,m,1489.813315,0,0,0.827825,,none,,1
TrialDigitSpan,2,99,henry_pilot,26,m,1502.129999,2,2,1.528178,,none,,1
TrialDigitSpan,2,100,henry_pilot,26,m,1515.065689,0,0,1.737489,,none,,1
TrialDigitSpan,2,101,henry_pilot,26,m,1528.364461,1,1,1.445345,,none,,1
TrialDigitSpan,2,102,henry_pilot,26,m,1541.796656,0,0,1.006384,,none,,1
TrialDigitSpan,2,103,henry_pilot,26,m,1553.969484,0,0,0.948815,,none,,1
TrialDigitSpan,2,104,henry_pilot,26,m,1566.159688,1,1,1.375905,,none,,1
TrialDigitSpan,2,105,henry_pilot,26,m,1579.062146,0,0,1.210768,,none,,1
TrialDigitSpan,2,106,henry_pilot,26,m,1591.746365,2,2,1.496433,,none,,1
TrialDigitSpan,2,107,henry_pilot,26,m,1605.392329,0,0,1.352097,,none,,1
TrialDigitSpan,2,125,henry_pilot,26,m,1984.44778,2,2,1.223632,,none,,1
TrialDigitSpan,2,107,jess_pilot,21,f,1661.470264,2,2,2.372861,1,none,,1
TrialDigitSpan,2,108,jess_pilot,21,f,1676.132781,0,0,1.999687,,none,,1
TrialDigitSpan,2,109,jess_pilot,21,f,1690.168698,0,0,1.871908,,none,,1
TrialDigitSpan,2,110,jess_pilot,21,f,1704.386163,1,1,1.426005,,none,,1
TrialDigitSpan,2,111,jess_pilot,21,f,1717.826337,0,0,2.090142,,none,,1
TrialDigitSpan,2,112,jess_pilot,21,f,1732.007033,2,2,1.329775,,none,,1
TrialDigitSpan,2,113,jess_pilot,21,f,1745.288764,-1,0,,,none,,0
TrialDigitSpan,2,114,jess_pilot,21,f,1879.384328,0,0,2.390221,,none,,1
TrialDigitSpan,2,115,jess_pilot,21,f,1894.325844,1,1,1.586575,,none,,1
TrialDigitSpan,2,116,jess_pilot,21,f,1907.500385,1,1,2.433911,,none,,1
TrialDigitSpan,2,117,jess_pilot,21,f,1923.279778,2,2,1.823791,,none,,1
TrialDigitSpan,2,118,jess_pilot,21,f,1936.787082,-1,2,,,none,,0
TrialDigitSpan,2,119,jess_pilot,21,f,1946.489239,1,1,1.671052,,none,,1
TrialDigitSpan,2,120,jess_pilot,21,f,1959.75856,-1,0,,,none,,0
TrialDigitSpan,2,121,jess_pilot,21,f,1969.984732,0,1,2.898124,,none,,0
TrialDigitSpan,2,122,jess_pilot,21,f,1986.100398,0,0,2.205214,,none,,1
TrialDigitSpan,2,144,jess_pilot,21,f,2301.59515,0,0,2.577709,,none,,1
TrialDigitSpan,2,60,pete_pilot,31,m,823.5291259,1,1,1.2191692,1,none,,1
TrialDigitSpan,2,61,pete_pilot,31,m,836.1443934,1,2,2.2582893,,none,,0
TrialDigitSpan,2,62,pete_pilot,31,m,851.0185125,1,1,1.8763697,,none,,1
TrialDigitSpan,2,63,pete_pilot,31,m,865.5266805,1,1,1.1928809,,none,,1
TrialDigitSpan,2,64,pete_pilot,31,m,878.437084,1,1,1.5366102,,none,,1
TrialDigitSpan,2,65,pete_pilot,31,m,892.0626802,0,0,1.3625138,,none,,1
TrialDigitSpan,2,66,pete_pilot,31,m,904.9959083,0,0,0.9111213,,none,,1
TrialDigitSpan,2,67,pete_pilot,31,m,917.2490876,2,2,1.5628669,,none,,1
TrialDigitSpan,2,68,pete_pilot,31,m,930.9684668,1,1,2.6342573,,none,,1
TrialDigitSpan,2,69,pete_pilot,31,m,1070.299569,2,2,0.975137,,none,,1
TrialDigitSpan,2,70,pete_pilot,31,m,1082.440662,2,2,0.969185,,none,,1
TrialDigitSpan,2,71,pete_pilot,31,m,1094.692369,1,1,1.125423,,none,,1
TrialDigitSpan,2,72,pete_pilot,31,m,1107.080971,0,0,1.152207,,none,,1
TrialDigitSpan,2,73,pete_pilot,31,m,1119.498841,0,0,1.021761,,none,,1
TrialDigitSpan,2,74,pete_pilot,31,m,1131.423699,1,1,1.33325,,none,,1
TrialDigitSpan,2,75,pete_pilot,31,m,1144.340041,0,0,0.904704,,none,,1
TrialDigitSpan,2,76,pete_pilot,31,m,1156.633401,0,0,1.626354,,none,,1
TrialDigitSpan,2,77,pete_pilot,31,m,1170.462388,2,2,1.059987,,none,,1
TrialDigitSpan,2,78,pete_pilot,31,m,1182.90704,2,2,1.049041,,none,,1
TrialDigitSpan,2,79,pete_pilot,31,m,1195.18754,0,0,0.982577,,none,,1
TrialDigitSpan,2,118,pete_pilot,31,m,1753.38166,2,2,1.211232,,none,,1
TrialDigitSpan,2,72,rahul_pilot,20,m,1143.596059,0,0,1.707728,1,none,,1
TrialDigitSpan,2,73,rahul_pilot,20,m,1157.321862,1,2,1.933905,,none,,0
TrialDigitSpan,2,74,rahul_pilot,20,m,1171.687012,2,2,1.647217,,none,,1
TrialDigitSpan,2,75,rahul_pilot,20,m,1185.080013,0,0,1.661102,,none,,1
TrialDigitSpan,2,76,rahul_pilot,20,m,1198.851465,1,1,2.19133,,none,,1
TrialDigitSpan,2,77,rahul_pilot,20,m,1213.239969,2,2,1.759808,,none,,1
TrialDigitSpan,2,78,rahul_pilot,20,m,1226.745561,1,1,1.352593,,none,,1
TrialDigitSpan,2,79,rahul_pilot,20,m,1239.44166,1,1,2.655587,,none,,1
