index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
129,13,adrian_pilot,2,TrialSpatialSpan,0,0,1525.963562,1532.336511,1534.148237,10.222605,1.811726,1,0,2
130,14,adrian_pilot,2,TrialSpatialSpan,0,-1,1624.042097,1630.434446,-1,12.334751,3,0,1,3
131,15,adrian_pilot,2,TrialSpatialSpan,0,-1,1634.106023,1640.515736,-1,10.063926,3,0,0,3
132,16,adrian_pilot,2,TrialSpatialSpan,2,2,1644.373633,1650.751471,1651.94894,10.26761,1.197469,1,0,3
133,17,adrian_pilot,2,TrialSpatialSpan,2,2,1656.80061,1663.264084,1665.705141,12.426977,2.441057,1,0,3
134,18,adrian_pilot,2,TrialSpatialSpan,2,2,1672.042623,1678.460048,1679.967047,15.242013,1.506999,1,0,3
135,19,adrian_pilot,2,TrialSpatialSpan,0,0,1685.553474,1691.964435,1694.069113,13.510851,2.104678,1,0,3
136,20,adrian_pilot,2,TrialSpatialSpan,2,2,1700.407919,1706.765104,1709.40467,14.854445,2.639566,1,0,3
137,21,adrian_pilot,2,TrialSpatialSpan,2,2,1845.911688,1852.294145,1855.156226,16.748907,2.862081,1,1,4
138,22,adrian_pilot,2,TrialSpatialSpan,0,1,1861.485343,1867.908973,1870.060807,15.573655,2.151834,0,0,4
139,23,adrian_pilot,2,TrialSpatialSpan,1,1,1875.852223,1882.22826,1883.837916,14.36688,1.609656,1,0,4
140,24,adrian_pilot,2,TrialSpatialSpan,0,2,1889.081547,1895.480397,1898.210342,13.229324,2.729945,0,0,4
141,25,adrian_pilot,2,TrialSpatialSpan,1,1,1905.027303,1911.429951,1913.66269,15.945756,2.232739,1,0,4
142,26,adrian_pilot,2,TrialSpatialSpan,0,0,1919.541412,1925.90244,1927.483176,14.514109,1.580736,1,0,4
143,27,adrian_pilot,2,TrialSpatialSpan,1,1,2162.11476,2168.539667,2171.457048,14.78484,2.917381,1,1,5
144,28,adrian_pilot,2,TrialSpatialSpan,2,2,2178.721573,2185.1267,2186.502807,16.606813,1.376107,1,0,5
145,29,adrian_pilot,2,TrialSpatialSpan,1,1,2192.026553,2198.423287,2200.382315,13.30498,1.959028,1,0,5
146,0,adrian_pilot,3,TrialDigitSpan,0,0,2467.105943,2473.518725,2475.336787,17.916101,1.818062,1,1,7
147,1,adrian_pilot,3,TrialDigitSpan,2,2,2481.413033,2487.797161,2488.885703,14.30709,1.088542,1,0,7
148,2,adrian_pilot,3,TrialDigitSpan,2,2,2493.810335,2500.242136,2501.367741,12.397302,1.125605,1,0,7
149,3,adrian_pilot,3,TrialDigitSpan,1,1,2506.28937,2512.700405,2514.385034,12.479035,1.684629,1,0,7
150,4,adrian_pilot,3,TrialDigitSpan,0,0,2520.087114,2526.518682,2528.213032,13.797744,1.69435,1,0,7
151,5,adrian_pilot,3,TrialDigitSpan,1,1,2533.74603,2540.19364,2541.177031,13.658916,0.983391,1,0,7
152,6,adrian_pilot,3,TrialDigitSpan,2,2,2545.512031,2551.904193,2553.581207,11.766001,1.677014,1,0,7
