,type,occurence,index_raw,participant_id,participant_age,participant_gender,time_start,participant_ans,target_ans,response_time,changed_shifted,switch_type,first_switch_rt,accuracy
244,TrialDigitSpan,2,110,jess_pilot,21,f,1704.386163,1,1,1.426005,,none,,1
245,TrialDigitSpan,2,111,jess_pilot,21,f,1717.8263370000002,0,0,2.0901419999999997,,none,,1
246,TrialDigitSpan,2,112,jess_pilot,21,f,1732.0070329999999,2,2,1.329775,,none,,1
247,TrialDigitSpan,2,113,jess_pilot,21,f,1745.2887640000001,-1,0,,,none,,0
248,TrialDigitSpan,2,114,jess_pilot,21,f,1879.384328,0,0,2.390221,,none,,1
249,TrialDigitSpan,2,115,jess_pilot,21,f,1894.3258440000002,1,1,1.586575,,none,,1
250,TrialDigitSpan,2,116,jess_pilot,21,f,1907.500385,1,1,2.433911,,none,,1
251,TrialDigitSpan,2,117,jess_pilot,21,f,1923.279778,2,2,1.823791,,none,,1
252,TrialDigitSpan,2,118,jess_pilot,21,f,1936.787082,-1,2,,,none,,0
253,TrialDigitSpan,2,119,jess_pilot,21,f,1946.489239,1,1,1.671052,,none,,1
254,TrialDigitSpan,2,120,jess_pilot,21,f,1959.7585600000002,-1,0,,,none,,0
255,TrialDigitSpan,2,121,jess_pilot,21,f,1969.9847320000001,0,1,2.898124,,none,,0
256,TrialDigitSpan,2,122,jess_pilot,21,f,1986.100398,0,0,2.205214,,none,,1
257,TrialDigitSpan,2,144,jess_pilot,21,f,2301.59515,0,0,2.577709,,none,,1
258,TrialDigitSpan,2,60,pete_pilot,31,m,823.5291258999999,1,1,1.2191691999999998,1.0,none,,1
259,TrialDigitSpan,2,61,pete_pilot,31,m,836.1443933999999,1,2,2.2582892999999995,,none,,0
260,TrialDigitSpan,2,62,pete_pilot,31,m,851.0185125,1,1,1.8763697,,none,,1
261,TrialDigitSpan,2,63,pete_pilot,31,m,865.5266805,1,1,1.1928809,,none,,1
262,TrialDigitSpan,2,64,pete_pilot,31,m,878.437084,1,1,1.5366102,,none,,1
263,TrialDigitSpan,2,65,pete_pilot,31,m,892.0626802000002,0,0,1.3625138,,none,,1
264,TrialDigitSpan,2,66,pete_pilot,31,m,904.9959082999999,0,0,0.9111213,,none,,1
265,TrialDigitSpan,2,67,pete_pilot,31,m,917.2490876,2,2,1.5628669,,none,,1
266,TrialDigitSpan,2,68,pete_pilot,31,m,930.9684668,1,1,2.6342573,,none,,1
267,TrialDigitSpan,2,69,pete_pilot,31,m,1070.299569,2,2,0.975137,,none,,1
268,TrialDigitSpan,2,70,pete_pilot,31,m,1082.440662,2,2,0.9691850000000001,,none,,1
269,TrialDigitSpan,2,71,pete_pilot,31,m,1094.6923689999999,1,1,1.125423,,none,,1
