,index_raw,index,participant_id,block,type,target_ans,participant_ans,time_start,time_response_enabled,time_response_submitted,time_block,response_time,accuracy,changed,occurence
168,168,22,adrian_pilot,3,TrialDigitSpan,1,1,3167.478246,3173.866241,3174.729834,12.885762,0.863593,1,0,9
169,169,0,adrian_pilot,3,TrialSpatialRotation,0,-1,2384.701152,2391.170886,-1.0,13.556045999999998,3.0,0,1,6
170,170,1,adrian_pilot,3,TrialSpatialRotation,0,0,2394.602758,2401.077295,2402.985013,9.901606,1.907718,1,0,6
171,171,2,adrian_pilot,3,TrialSpatialRotation,0,0,2408.261652,2414.729379,2416.2208170000004,13.658894,1.4914379999999998,1,0,6
172,172,3,adrian_pilot,3,TrialSpatialRotation,1,1,2421.63975,2428.1244100000004,2429.7185219999997,13.378098000000001,1.594112,1,0,6
173,173,4,adrian_pilot,3,TrialSpatialRotation,1,1,2435.500793,2441.9723649999996,2443.892534,13.861042999999999,1.9201689999999998,1,0,6
174,174,5,adrian_pilot,3,TrialSpatialRotation,2,2,2449.189842,2455.6636350000003,2457.762237,13.689048999999999,2.098602,1,0,6
175,175,6,adrian_pilot,3,TrialSpatialRotation,2,2,2638.7162829999997,2645.203117,2647.6110120000003,13.631023,2.407895,1,1,7
176,176,7,adrian_pilot,3,TrialSpatialRotation,2,1,2654.292798,2660.748945,2663.614054,15.576514999999999,2.865109,0,0,7
177,177,8,adrian_pilot,3,TrialSpatialRotation,1,1,2670.629098,2677.0939399999997,2680.044445,16.3363,2.9505049999999997,1,0,7
178,178,9,adrian_pilot,3,TrialSpatialRotation,2,1,2687.105491,2693.538653,2696.397795,16.476392999999998,2.859142,0,0,7
179,179,10,adrian_pilot,3,TrialSpatialRotation,1,1,2703.286979,2709.734689,2711.451382,16.181488,1.716693,1,0,7
180,180,11,adrian_pilot,3,TrialSpatialRotation,1,1,2716.614893,2723.073456,2724.7649899999997,13.327914000000002,1.691534,1,0,7
181,181,12,adrian_pilot,3,TrialSpatialRotation,2,2,2979.187839,2985.615384,2987.801464,13.536335999999999,2.18608,1,1,8
182,182,13,adrian_pilot,3,TrialSpatialRotation,0,0,2994.067368,3000.5406559999997,3002.413414,14.879529000000002,1.8727580000000001,1,0,8
183,183,14,adrian_pilot,3,TrialSpatialRotation,2,2,3008.0337600000003,3014.506757,3016.0763920000004,13.966392,1.5696350000000001,1,0,8
184,184,15,adrian_pilot,3,TrialSpatialRotation,1,1,3021.663549,3028.135565,3030.374804,13.629789,2.239239,1,0,8
185,185,16,adrian_pilot,3,TrialSpatialRotation,1,1,3036.296069,3042.798052,3045.471739,14.632520000000001,2.6736869999999997,1,0,8
186,186,17,adrian_pilot,3,TrialSpatialRotation,2,-1,3052.256007,3058.741918,-1.0,15.959938000000001,3.0,0,0,8
187,187,18,adrian_pilot,3,TrialSpatialRotation,2,2,3062.83502,3069.293225,3071.192643,10.579013,1.899418,1,0,8
188,188,19,adrian_pilot,3,TrialSpatialRotation,0,0,3076.7194649999997,3083.186848,3084.298172,13.884445000000001,1.111324,1,0,8
