,index_raw,participant_id,participant_age,participant_gender,type,time_start,time_response_submitted,participant_ans,target_ans
34,12,dan_pilot,24,m,TrialDigitSpan,363.4703016,1.9572179,0,0
35,13,dan_pilot,24,m,TrialDigitSpan,377.80764339999996,0.9771208,0,0
36,14,dan_pilot,24,m,TrialDigitSpan,390.2393963,1.3396968999999999,2,2
37,15,dan_pilot,24,m,TrialDigitSpan,403.3998334,1.0123353000000002,2,2
38,16,dan_pilot,24,m,TrialDigitSpan,415.45905919999996,1.2365291,1,0
39,17,dan_pilot,24,m,TrialDigitSpan,428.60604639999997,1.4691515,0,0
40,18,dan_pilot,24,m,TrialDigitSpan,671.2542429,1.5336334999999999,0,0
171,19,dan_pilot,24,m,TrialDigitSpan,684.3694856000001,1.5331385,1,1
172,20,dan_pilot,24,m,TrialDigitSpan,698.2698998,1.0916622,2,2
173,21,dan_pilot,24,m,TrialDigitSpan,710.9727466,1.676482,2,2
174,22,dan_pilot,24,m,TrialDigitSpan,724.6454761,1.9185307,1,1
175,23,dan_pilot,24,m,TrialDigitSpan,738.5989742,1.8466105,1,1
176,24,dan_pilot,24,m,TrialDigitSpan,752.0565132999999,1.2137124,2,2
177,25,dan_pilot,24,m,TrialDigitSpan,765.1201437000001,2.2211208,0,0
178,26,dan_pilot,24,m,TrialDigitSpan,779.3911731000001,1.4016971,0,0
179,27,dan_pilot,24,m,TrialDigitSpan,792.2172911,1.6318416999999998,0,0
180,28,dan_pilot,24,m,TrialDigitSpan,929.5268702999999,1.2097441999999998,2,2
181,29,dan_pilot,24,m,TrialDigitSpan,941.7959366,2.5732847000000003,1,0
182,30,dan_pilot,24,m,TrialDigitSpan,957.6386945,1.8178415,2,2
183,31,dan_pilot,24,m,TrialDigitSpan,971.2851465,0.9810896000000001,1,1
184,32,dan_pilot,24,m,TrialDigitSpan,983.1699846000001,0.8486568999999999,0,0
185,33,dan_pilot,24,m,TrialDigitSpan,995.7415537999999,0.936944,0,0
186,34,dan_pilot,24,m,TrialDigitSpan,1008.027499,0.8645290000000001,1,1
187,35,dan_pilot,24,m,TrialDigitSpan,1020.343175,1.526689,2,2
188,36,dan_pilot,24,m,TrialDigitSpan,1033.9901320000001,1.613985,2,2
189,37,dan_pilot,24,m,TrialDigitSpan,1047.585504,1.382849,2,2
190,38,dan_pilot,24,m,TrialDigitSpan,1060.980492,0.923058,0,0
191,39,dan_pilot,24,m,TrialDigitSpan,2393.939827,1.6779709999999999,1,1
315,40,dan_pilot,24,m,TrialDigitSpan,2407.779224,1.466176,1,1
316,41,dan_pilot,24,m,TrialDigitSpan,2420.568233,1.377393,2,2
317,42,dan_pilot,24,m,TrialDigitSpan,2433.855093,1.166593,2,2
318,43,dan_pilot,24,m,TrialDigitSpan,2446.93264,1.4225299999999999,2,2
319,44,dan_pilot,24,m,TrialDigitSpan,2460.477918,0.888337,0,0
320,45,dan_pilot,24,m,TrialDigitSpan,2472.8947940000003,1.375905,1,1
321,46,dan_pilot,24,m,TrialDigitSpan,2486.258532,1.628369,0,0
322,47,dan_pilot,24,m,TrialDigitSpan,2499.8732489999998,2.0951049999999998,0,0
323,48,dan_pilot,24,m,TrialDigitSpan,2635.044362,1.386817,2,2
324,49,dan_pilot,24,m,TrialDigitSpan,2648.03528,1.673507,0,0
325,50,dan_pilot,24,m,TrialDigitSpan,2661.962982,1.266289,2,2
326,51,dan_pilot,24,m,TrialDigitSpan,2674.685404,0.8129430000000001,2,2
327,52,dan_pilot,24,m,TrialDigitSpan,2686.8537920000003,1.928451,2,2
328,53,dan_pilot,24,m,TrialDigitSpan,2700.91197,1.7756830000000001,1,1
329,54,dan_pilot,24,m,TrialDigitSpan,2714.4691510000002,1.634819,0,0
330,55,dan_pilot,24,m,TrialDigitSpan,2727.827437,1.198833,0,0
331,56,dan_pilot,24,m,TrialDigitSpan,2740.349956,1.075329,2,2
332,57,dan_pilot,24,m,TrialDigitSpan,3018.914718,1.0723200000000002,0,0
446,58,dan_pilot,24,m,TrialDigitSpan,3031.2360519999997,1.348623,2,2
447,59,dan_pilot,24,m,TrialDigitSpan,3043.824549,1.282656,1,1
448,60,dan_pilot,24,m,TrialDigitSpan,3056.325269,2.308882,1,2
449,61,dan_pilot,24,m,TrialDigitSpan,3071.168552,1.933409,1,1
450,62,dan_pilot,24,m,TrialDigitSpan,3085.4117,1.609026,0,0
451,63,dan_pilot,24,m,TrialDigitSpan,3099.19704,1.6516819999999999,1,1
452,64,dan_pilot,24,m,TrialDigitSpan,3112.3713239999997,1.7721779999999998,2,2
453,65,dan_pilot,24,m,TrialDigitSpan,3126.560889,2.390692,1,1
454,66,dan_pilot,24,m,TrialDigitSpan,3141.579851,1.171055,2,2
455,67,dan_pilot,24,m,TrialDigitSpan,3154.446182,1.8684330000000002,1,1
456,68,dan_pilot,24,m,TrialDigitSpan,3168.033132,,-1,2
457,69,dan_pilot,24,m,TrialDigitSpan,3178.50369,1.296049,1,1
458,70,dan_pilot,24,m,TrialDigitSpan,3191.59959,1.6670580000000002,0,0
459,71,dan_pilot,24,m,TrialDigitSpan,3205.416674,1.301009,2,2
460,72,dan_pilot,24,m,TrialDigitSpan,3217.72692,1.141791,2,2
461,73,dan_pilot,24,m,TrialDigitSpan,3230.4438649999997,1.9666419999999998,0,0
462,74,dan_pilot,24,m,TrialDigitSpan,3244.630471,1.525203,0,0
570,75,dan_pilot,24,m,TrialSpatialRotation,1072.9678509999999,2.229523,2,2
595,76,dan_pilot,24,m,TrialSpatialRotation,1087.370691,1.878354,1,1
596,77,dan_pilot,24,m,TrialSpatialRotation,1100.942343,1.5941450000000001,0,0
597,78,dan_pilot,24,m,TrialSpatialRotation,1114.705362,1.4632020000000001,1,1
598,79,dan_pilot,24,m,TrialSpatialRotation,1127.945606,1.482049,0,1
599,80,dan_pilot,24,m,TrialSpatialRotation,1141.654566,1.6621299999999999,1,2
600,81,dan_pilot,24,m,TrialSpatialRotation,1155.9790480000001,2.1605790000000002,2,2
601,82,dan_pilot,24,m,TrialSpatialRotation,1170.814461,2.4661150000000003,1,1
602,83,dan_pilot,24,m,TrialSpatialRotation,1186.208826,2.1005599999999998,2,2
603,84,dan_pilot,24,m,TrialSpatialRotation,1201.142409,1.6313469999999999,0,1
604,85,dan_pilot,24,m,TrialSpatialRotation,1214.4744150000001,2.161075,2,1
605,86,dan_pilot,24,m,TrialSpatialRotation,1229.4387390000002,1.4894889999999998,1,1
606,87,dan_pilot,24,m,TrialSpatialRotation,1242.97212,1.513794,1,1
607,88,dan_pilot,24,m,TrialSpatialRotation,1256.284975,1.958706,0,1
608,89,dan_pilot,24,m,TrialSpatialRotation,1270.0866800000001,2.1084959999999997,1,1
609,90,dan_pilot,24,m,TrialSpatialRotation,1284.831283,1.957713,1,1
610,91,dan_pilot,24,m,TrialSpatialRotation,1299.402326,2.297971,0,0
611,92,dan_pilot,24,m,TrialSpatialRotation,1313.789833,2.118418,0,1
612,93,dan_pilot,24,m,TrialSpatialRotation,1566.8543339999999,1.5847229999999999,0,1
740,94,dan_pilot,24,m,TrialSpatialRotation,1580.694336,1.621426,1,1
741,95,dan_pilot,24,m,TrialSpatialRotation,1593.783786,1.836196,1,0
742,96,dan_pilot,24,m,TrialSpatialRotation,1607.288393,1.7940330000000002,1,1
743,97,dan_pilot,24,m,TrialSpatialRotation,1621.192769,1.492993,1,0
744,98,dan_pilot,24,m,TrialSpatialRotation,1634.2842039999998,1.8808340000000001,1,1
745,99,dan_pilot,24,m,TrialSpatialRotation,1648.718938,2.570274,2,1
746,100,dan_pilot,24,m,TrialSpatialRotation,1787.853032,0.975138,2,2
747,101,dan_pilot,24,m,TrialSpatialRotation,1799.683652,2.15909,0,0
748,102,dan_pilot,24,m,TrialSpatialRotation,1813.8771980000001,1.543056,1,1
